filename	3_types	16_types
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/FCJF0/SX307.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/FCJF0/SA1.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/FCJF0/SA2.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/FCJF0/SX397.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/FCJF0/SX127.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/MCPM0/SX114.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/MCPM0/SX24.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/MCPM0/SA2.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/MCPM0/SI564.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/C3_7m/timit/TRAIN/DR1/MCPM0/SX384.WAV	C	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/FCJF0/SX217.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/FCJF0/SX307.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/FCJF0/SI648.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/FCJF0/SA2.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/FCJF0/SX37.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/FCJF0/SX127.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/MCPM0/SX294.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/MCPM0/SX24.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/MCPM0/SA1.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/MCPM0/SA2.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M3_7m/timit/TRAIN/DR1/MCPM0/SX384.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/FCJF0/SX217.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/FCJF0/SX307.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/FCJF0/SI648.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/FCJF0/SA1.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/FCJF0/SA2.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/FCJF0/SI1657.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/FCJF0/SX127.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SI1194.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SX294.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SX24.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SA1.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SA2.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SX204.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SI564.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D1_7m/timit/TRAIN/DR1/MCPM0/SX384.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/FCJF0/SX217.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/FCJF0/SX307.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/FCJF0/SA1.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/FCJF0/SX397.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/FCJF0/SX127.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/MCPM0/SX114.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/MCPM0/SX294.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/MCPM0/SX24.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/MCPM0/SA1.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/MCPM0/SX204.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/D3_7m/timit/TRAIN/DR1/MCPM0/SI1824.WAV	D	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M1_7m/timit/TRAIN/DR1/FCJF0/SX217.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M1_7m/timit/TRAIN/DR1/FCJF0/SX307.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M1_7m/timit/TRAIN/DR1/FCJF0/SI1027.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M1_7m/timit/TRAIN/DR1/FCJF0/SA1.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M1_7m/timit/TRAIN/DR1/FCJF0/SA2.WAV	M	7m
/home/koredata/hsinhung/speech/crisp_record_mixed/M1_7m/timit/TRAIN/DR1/FCJF0/SX37.WAV	M	7m
