filename	mictype	roomsize	distance
crisp_phase3/M1_phase3_large_9m/timit/data/TRAIN/DR1/MDAC0/SX271.WAV	M1	large	9m
Mobile_Recording/phase3/Mi/large_1m/545.wav	Mi	large	1m
crisp_phase3/M1_phase3_large_1m/timit/data/TRAIN/DR1/MDPK0/SI1683.WAV	M1	large	1m
Mobile_Recording/phase3/Moto/large_3m/230.wav	Moto	large	3m
crisp_phase3/M1_phase3_mid_3m/timit/data/TRAIN/DR1/MEDR0/SA1.WAV	M1	mid	3m
Mobile_Recording/phase3/Mi/med_5m/140.wav	Mi	med	5m
Mobile_Recording/phase3/LG/small_1m/95.wav	LG	small	1m
crisp_phase3/D2_phase3_large_1m/timit/data/TRAIN/DR1/FCJF0/SX217.WAV	D2	large	1m
crisp_phase3/C2_phase3_large_9m/timit/data/TRAIN/DR1/FDML0/SI1779.WAV	C2	large	9m
crisp_phase3/D2_phase3_large_3m/timit/data/TRAIN/DR1/MDPK0/SA1.WAV	D2	large	3m
Mobile_Recording/phase3/Samsung/med_1m/510.wav	Samsung	med	1m
Mobile_Recording/phase3/Moto/large_3m/65.wav	Moto	large	3m
crisp_phase3/D5_phase3_small_1m/timit/data/TRAIN/DR1/FDAW0/SA2.WAV	D5	small	1m
crisp_phase3/M1_phase3_small_3m/timit/data/TRAIN/DR1/FDAW0/SX146.WAV	M1	small	3m
Mobile_Recording/phase3/LG/small_3m/190.wav	LG	small	3m
Mobile_Recording/phase3/Samsung/large_close/340.wav	Samsung	large	0.02m
Mobile_Recording/phase3/Moto/large_close/310.wav	Moto	large	0.02m
crisp_phase3/M1_phase3_large_5m/timit/data/TRAIN/DR1/FECD0/SI788.WAV	M1	large	5m
Mobile_Recording/phase3/LG/large_3m/210.wav	LG	large	3m
crisp_phase3/D4_phase3_small_1m/timit/data/TRAIN/DR1/FECD0/SI1418.WAV	D4	small	1m
crisp_phase3/C1_phase3_large_5m/timit/data/TRAIN/DR1/MEDR0/SX384.WAV	C1	large	5m
Mobile_Recording/phase3/Mi/large_close/435.wav	Mi	large	0.02m
crisp_phase3/C2_phase3_large_close/timit/data/TRAIN/DR1/MCPM0/SI564.WAV	C2	large	0.02m
crisp_phase3/D5_phase3_large_5m/timit/data/TRAIN/DR1/MCPM0/SX24.WAV	D5	large	5m
crisp_phase3/C1_phase3_large_5m/timit/data/TRAIN/DR1/FETB0/SI1148.WAV	C1	large	5m
crisp_phase3/D2_phase3_mid_5m/timit/data/TRAIN/DR1/MDPK0/SI552.WAV	D2	mid	5m
crisp_phase3/C1_phase3_large_1m/timit/data/TRAIN/DR1/MGRL0/SX57.WAV	C1	large	1m
crisp_phase3/D5_phase3_large_9m/timit/data/TRAIN/DR1/FDAW0/SX146.WAV	D5	large	9m
Mobile_Recording/phase3/Moto/small_3m/202.wav	Moto	small	3m
Mobile_Recording/phase3/Mi/med_5m/200.wav	Mi	med	5m
crisp_phase3/D5_phase3_large_7m/timit/data/TRAIN/DR1/FECD0/SA1.WAV	D5	large	7m
Mobile_Recording/phase3/Samsung/med_3m/490.wav	Samsung	med	3m
crisp_phase3/D2_phase3_large_1m/timit/data/TRAIN/DR1/FCJF0/SI1027.WAV	D2	large	1m
